station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
40380,Clark/Lake,10/01/2018,22811.6,6901.8,6233.5,577208
40260,State/Lake,10/01/2018,14098.7,7307.8,5824.5,376799
40200,Randolph/Wabash,10/01/2018,0,0,0,0
41700,Washington/Wabash,10/01/2018,11079.3,5920,4248.8,295498
40680,Adams/Wabash,10/01/2018,8448,3616.3,4136,225312
40850,Library,10/01/2018,4236,1946,1918.8,112888
40160,LaSalle/Van Buren,10/01/2018,3182.3,584.5,503.5,77544
40040,Quincy/Wells,10/01/2018,8549.1,1715.5,1549.8,209691
40730,Washington/Wells,10/01/2018,8696.1,1383.8,1442,211314
41130,Halsted-Orange,10/01/2018,3112.3,1239.8,1142.3,81111
41060,Ashland-Orange,10/01/2018,1789.4,928.3,721.3,47754
40120,35th/Archer,10/01/2018,3389.5,1608.3,1229.3,89309
40310,Western-Orange,10/01/2018,4133.9,1845.5,1440,108222
41150,Kedzie-Midway,10/01/2018,3856,1753.8,1239.5,100661
40960,Pulaski-Orange,10/01/2018,5773.9,2299,1719.5,148874
40930,Midway Airport,10/01/2018,9311.2,4326.8,4062.3,247713
40460,Merchandise Mart,10/01/2018,8616.9,1949.3,1640,212545
40710,Chicago/Franklin,10/01/2018,7727.6,3147.3,2387.5,199874
40800,Sedgwick,10/01/2018,4096.1,2299,2561.8,113654
40660,Armitage,10/01/2018,4621.2,2419.5,1759.3,123002
40530,Diversey,10/01/2018,6133.1,3026,2441.3,162930
41210,Wellington,10/01/2018,3387,1461.8,1061.8,87994
40360,Southport,10/01/2018,3838,2160.3,1636.5,103460
41310,Paulina,10/01/2018,3011.7,1619,1193.8,80519
41440,Addison-Brown,10/01/2018,2765.3,1130,882,71649
41460,Irving Park-Brown,10/01/2018,3548.9,1736,1208,93401
41500,Montrose-Brown,10/01/2018,2799.6,1481.3,1059.3,74553
40090,Damen-Brown,10/01/2018,3063.5,1527,1059.3,80805
41480,Western-Brown,10/01/2018,4224.4,2971.8,2114,117504
41010,Rockwell,10/01/2018,1998.7,895,680.3,52270
40870,Francisco,10/01/2018,1768,918.3,662,46985
41180,Kedzie-Brown,10/01/2018,2130.9,1402.3,1055.8,58842
41290,Kimball,10/01/2018,4342.8,2594,1830.3,117581
40290,Ashland/63rd,10/01/2018,1190.6,345,281.5,29889
40940,Halsted/63rd,10/01/2018,602.5,118.8,104.3,14749
40720,East 63rd-Cottage Grove,10/01/2018,1076,348.8,249.3,27140
41140,King Drive,10/01/2018,562,176.8,145.3,14214
40510,Garfield-South Elevated,10/01/2018,805.9,261.3,207.8,20411
40130,51st,10/01/2018,1289.1,1171,812.3,37582
41080,47th-South Elevated,10/01/2018,1180.2,710,506.3,32010
41270,43rd,10/01/2018,1095.7,541.3,400,28966
40300,Indiana,10/01/2018,951.3,420.8,408.5,25196
41120,35-Bronzeville-IIT,10/01/2018,2065.3,1137.8,1104.3,56470
41690,Cermak-McCormick Place,10/01/2018,2194.5,1962,1960,66161
41160,Clinton-Lake,10/01/2018,4761.7,1342.5,1237.3,119837
41510,Morgan-Lake,10/01/2018,3738.1,2192.3,1834.5,102083
40170,Ashland-Lake,10/01/2018,2690.8,1306.5,983.3,71048
41360,California-Lake,10/01/2018,1150,535.8,424.3,30291
41070,Kedzie-Lake,10/01/2018,1681.7,975.5,726.3,45485
41670,Conservatory,10/01/2018,995,663.3,505.3,27559
40030,Pulaski-Lake,10/01/2018,1497.1,970.3,732.3,41243
40480,Cicero-Lake,10/01/2018,1311.9,827.5,622.3,35973
40700,Laramie,10/01/2018,1270.8,756.3,545.5,34435
40280,Central-Lake,10/01/2018,2099.9,1311.5,948.5,57337
41260,Austin-Lake,10/01/2018,1926.3,1034.8,722.8,51334
40610,Ridgeland,10/01/2018,1470,524.3,397,37496
41350,Oak Park-Lake,10/01/2018,1709.1,770.8,624,44889
40020,Harlem-Lake,10/01/2018,3948.2,2319,1813,107336
40580,54th/Cermak,10/01/2018,2359.1,1133.3,818,62065
40420,Cicero-Cermak,10/01/2018,1309.8,840.8,650.3,36089
40600,Kostner,10/01/2018,537.5,297.8,205,14374
40150,Pulaski-Cermak,10/01/2018,1158.8,668.5,517.3,31396
40780,Central Park,10/01/2018,1289,713.8,506.8,34529
41040,Kedzie-Cermak,10/01/2018,1118.5,636.5,475.5,30174
40440,California-Cermak,10/01/2018,1511,808,633.5,40520
40740,Western-Cermak,10/01/2018,1250.4,716,515,33684
40210,Damen-Cermak,10/01/2018,1744.1,908.8,688.5,46503
40830,18th,10/01/2018,1980.9,1299.5,1403.5,56372
41030,Polk,10/01/2018,3621.4,763,589,88700
40390,Forest Park,10/01/2018,3627.9,1530,1312.3,94810
40980,Harlem-Forest Park,10/01/2018,1437.8,693.8,449.5,37643
40180,Oak Park-Forest Park,10/01/2018,2012.6,668.3,512,51011
40010,Austin-Forest Park,10/01/2018,2182.9,838.8,645.3,56143
40970,Cicero-Forest Park,10/01/2018,1443.7,943,692.3,39747
40920,Pulaski-Forest Park,10/01/2018,1795,1395.3,1093.3,51239
40250,Kedzie-Homan-Forest Park,10/01/2018,2112.4,1282,1028.3,57827
40220,Western-Forest Park,10/01/2018,1843.1,1021,805.5,49697
40810,Medical Center,10/01/2018,3403.7,1293.5,954.3,87277
40470,Racine,10/01/2018,2508.4,1094.3,1151.8,66678
40350,UIC-Halsted,10/01/2018,8865,2556,3064.5,226378
40430,Clinton-Forest Park,10/01/2018,3957.8,1341.8,1493.3,102369
41340,LaSalle,10/01/2018,3518.1,1482.5,1538.8,93001
40070,Jackson/Dearborn,10/01/2018,8242.5,3256,3571.8,216889
