stop_id,direction_id,stop_name,station_name,station_descriptive_name,station_id,order,red,blue,green
30004,W,Harlem (Terminal arrival),Harlem/Lake,Harlem/Lake (Green Line),40020,0,FALSE,FALSE,TRUE
30003,E,Harlem (63rd-bound),Harlem/Lake,Harlem/Lake (Green Line),40020,0,FALSE,FALSE,TRUE
30263,E,Oak Park (63rd-bound),Oak Park,Oak Park (Green Line),41350,1,FALSE,FALSE,TRUE
30264,W,Oak Park (Harlem-bound),Oak Park,Oak Park (Green Line),41350,1,FALSE,FALSE,TRUE
30119,E,Ridgeland (63rd-bound),Ridgeland,Ridgeland (Green Line),40610,2,FALSE,FALSE,TRUE
30120,W,Ridgeland (Harlem-bound),Ridgeland,Ridgeland (Green Line),40610,2,FALSE,FALSE,TRUE
30173,N,Howard (Terminal arrival),Howard,"Howard (Red, Purple & Yellow Lines)",40900,0,TRUE,FALSE,FALSE
30174,S,Howard (95th-Bound),Howard,"Howard (Red, Purple & Yellow Lines)",40900,0,TRUE,FALSE,FALSE
30228,S,Jarvis (95th-bound),Jarvis,Jarvis (Red Line),41190,1,TRUE,FALSE,FALSE
30227,N,Jarvis (Howard-bound),Jarvis,Jarvis (Red Line),41190,1,TRUE,FALSE,FALSE
30021,S,Morse (95th-bound),Morse,Morse (Red Line),40100,2,TRUE,FALSE,FALSE
30020,N,Morse (Howard-bound),Morse,Morse (Red Line),40100,2,TRUE,FALSE,FALSE
30252,S,Loyola (95th-bound),Loyola,Loyola (Red Line),41300,3,TRUE,FALSE,FALSE
30251,N,Loyola (Howard-bound),Loyola,Loyola (Red Line),41300,3,TRUE,FALSE,FALSE
30148,S,Granville (95th-bound),Granville,Granville (Red Line),40760,4,TRUE,FALSE,FALSE
30147,N,Granville (Howard-bound),Granville,Granville (Red Line),40760,4,TRUE,FALSE,FALSE
30170,S,Thorndale (95th-bound),Thorndale,Thorndale (Red Line),40880,5,TRUE,FALSE,FALSE
30169,N,Thorndale (Howard-bound),Thorndale,Thorndale (Red Line),40880,5,TRUE,FALSE,FALSE
30268,S,Bryn Mawr (95th-bound),Bryn Mawr,Bryn Mawr (Red Line),41380,6,TRUE,FALSE,FALSE
30267,N,Bryn Mawr (Howard-bound),Bryn Mawr,Bryn Mawr (Red Line),41380,6,TRUE,FALSE,FALSE
30067,S,Berwyn (95th-bound),Berwyn,Berwyn (Red Line),40340,7,TRUE,FALSE,FALSE
30066,N,Berwyn (Howard-bound),Berwyn,Berwyn (Red Line),40340,7,TRUE,FALSE,FALSE
30230,S,Argyle (95th-bound),Argyle,Argyle (Red Line),41200,8,TRUE,FALSE,FALSE
30229,N,Argyle (Howard-bound),Argyle,Argyle (Red Line),41200,8,TRUE,FALSE,FALSE
30150,S,Lawrence (95th-bound),Lawrence,Lawrence (Red Line),40770,9,TRUE,FALSE,FALSE
30149,N,Lawrence (Howard-bound),Lawrence,Lawrence (Red Line),40770,9,TRUE,FALSE,FALSE
30106,S,Wilson (95th-bound),Wilson,Wilson (Red & Purple Lines),40540,10,TRUE,FALSE,FALSE
30105,N,Wilson (Howard-bound),Wilson,Wilson (Red & Purple Lines),40540,10,TRUE,FALSE,FALSE
30017,S,Sheridan (95th-bound),Sheridan,Sheridan (Red Line),40080,11,TRUE,FALSE,FALSE
30016,N,Sheridan (Howard-bound),Sheridan,Sheridan (Red Line),40080,11,TRUE,FALSE,FALSE
30274,S,Addison (95th-bound),Addison,Addison (Red Line),41420,12,TRUE,FALSE,FALSE
30273,N,Addison (Howard-bound),Addison,Addison (Red Line),41420,12,TRUE,FALSE,FALSE
30256,S,Belmont (95th-bound),Belmont,"Belmont (Red, Brown & Purple Lines)",41320,13,TRUE,FALSE,FALSE
30255,N,Belmont (Howard-bound),Belmont,"Belmont (Red, Brown & Purple Lines)",41320,13,TRUE,FALSE,FALSE
30234,S,Fullerton (95th-bound),Fullerton,"Fullerton (Red, Brown & Purple Lines)",41220,14,TRUE,FALSE,FALSE
30233,N,Fullerton (Howard-bound),Fullerton,"Fullerton (Red, Brown & Purple Lines)",41220,14,TRUE,FALSE,FALSE
30126,S,North/Clybourn (95th-bound),North/Clybourn,North/Clybourn (Red Line),40650,15,TRUE,FALSE,FALSE
30125,N,North/Clybourn (Howard-bound),North/Clybourn,North/Clybourn (Red Line),40650,15,TRUE,FALSE,FALSE
30122,S,Clark/Division (95th-bound),Clark/Division,Clark/Division (Red Line),40630,16,TRUE,FALSE,FALSE
30121,N,Clark/Division (Howard-bound),Clark/Division,Clark/Division (Red Line),40630,16,TRUE,FALSE,FALSE
30280,S,Chicago (95th-bound),Chicago,Chicago (Red Line),41450,17,TRUE,FALSE,FALSE
30279,N,Chicago (Howard-bound),Chicago,Chicago (Red Line),41450,17,TRUE,FALSE,FALSE
30065,S,Grand/State (95th-bound),Grand,Grand (Red Line),40330,18,TRUE,FALSE,FALSE
30064,N,Grand/State (Howard-bound),Grand,Grand (Red Line),40330,18,TRUE,FALSE,FALSE
30290,S,Lake (95th-bound),Lake,Lake (Red Line),41660,19,TRUE,FALSE,FALSE
30289,N,Lake (Howard-bound),Lake,Lake (Red Line),41660,19,TRUE,FALSE,FALSE
30212,S,Monroe (95th-bound),Monroe,Monroe (Red Line),41090,20,TRUE,FALSE,FALSE
30211,N,Monroe (Howard-bound),Monroe,Monroe (Red Line),41090,20,TRUE,FALSE,FALSE
30110,S,Jackson/State (95th-bound),Jackson,Jackson (Red Line),40560,21,TRUE,FALSE,FALSE
30109,N,Jackson/State (Howard-bound),Jackson,Jackson (Red Line),40560,21,TRUE,FALSE,FALSE
30286,S,Harrison (95th-bound),Harrison,Harrison (Red Line),41490,22,TRUE,FALSE,FALSE
30285,N,Harrison (Howard-bound),Harrison,Harrison (Red Line),41490,22,TRUE,FALSE,FALSE
30269,N,Roosevelt (Howard-bound),Roosevelt,"Roosevelt (Red, Orange & Green Lines)",41400,23,TRUE,FALSE,FALSE
30270,S,Roosevelt (95th-bound),Roosevelt,"Roosevelt (Red, Orange & Green Lines)",41400,23,TRUE,FALSE,FALSE
30194,S,Cermak-Chinatown (95th-bound),Cermak-Chinatown,Cermak-Chinatown (Red Line),41000,24,TRUE,FALSE,FALSE
30193,N,Cermak-Chinatown (Howard-bound),Cermak-Chinatown,Cermak-Chinatown (Red Line),41000,24,TRUE,FALSE,FALSE
30037,S,Sox-35th (95th-bound),Sox-35th,Sox-35th (Red Line),40190,25,TRUE,FALSE,FALSE
30036,N,Sox-35th (Howard-bound),Sox-35th,Sox-35th (Red Line),40190,25,TRUE,FALSE,FALSE
30238,S,47th (95th-bound),47th,47th (Red Line),41230,26,TRUE,FALSE,FALSE
30237,N,47th (Howard-bound),47th,47th (Red Line),41230,26,TRUE,FALSE,FALSE
30224,S,Garfield (95th-bound),Garfield,Garfield (Red Line),41170,27,TRUE,FALSE,FALSE
30223,N,Garfield (Howard-bound),Garfield,Garfield (Red Line),41170,27,TRUE,FALSE,FALSE
30178,S,63rd (95th-bound),63rd,63rd (Red Line),40910,28,TRUE,FALSE,FALSE
30177,N,63rd (Howard-bound),63rd,63rd (Red Line),40910,28,TRUE,FALSE,FALSE
30192,S,69th (95th-bound),69th,69th (Red Line),40990,29,TRUE,FALSE,FALSE
30191,N,69th (Howard-bound),69th,69th (Red Line),40990,29,TRUE,FALSE,FALSE
30047,S,79th (95th-bound),79th,79th (Red Line),40240,30,TRUE,FALSE,FALSE
30046,N,79th (Howard-bound),79th,79th (Red Line),40240,30,TRUE,FALSE,FALSE
30275,N,87th (Howard-bound),87th,87th (Red Line),41430,31,TRUE,FALSE,FALSE
30276,S,87th (95th-bound),87th,87th (Red Line),41430,31,TRUE,FALSE,FALSE
30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),40450,32,TRUE,FALSE,FALSE
30088,N,95th/Dan Ryan (Howard-bound),95th/Ran Ryan,95th/Ran Ryan (Red Line),40450,32,TRUE,FALSE,FALSE
30243,E,Austin (63rd-bound),Austin,Austin (Green Line),41260,3,FALSE,FALSE,TRUE
30244,W,Austin (Harlem-bound),Austin,Austin (Green Line),41260,3,FALSE,FALSE,TRUE
30054,E,Central (63rd-bound),Central,Central (Green Line),40280,4,FALSE,FALSE,TRUE
30055,W,Central (Harlem-bound),Central,Central (Green Line),40280,4,FALSE,FALSE,TRUE
