id, username, currency, amount
1, reevesjoshua, ZMW, 42304
2, john35, DOP, 17541
3, xcook, ARS, 146886
4, larrybyrd, NIO, 164695
5, kristinacampbell, KHR, 94406
6, suzannejones, JEP, 179291
7, thomas95, BIF, 100962
8, paul11, IQD, 7497
9, philipsanchez, ZAR, 148715
10, zgray, TRY, 143016
11, simpsonmichael, XCD, 45356
12, kgallagher, USD, 30842
13, carpenterrebecca, ISK, 72461
14, hodgesadam, DJF, 16256
15, rcarey, TZS, 86597
16, qcain, DJF, 48941
17, dominicfoster, TZS, 12026
18, pscott, LTL, 92056
19, leenicholas, RON, 131086
20, craigjones, PGK, 38169
21, gardnerjessica, JEP, 175179
22, petersonvictoria, AZN, 22787
23, carolyn99, JPY, 119255
24, kvasquez, LKR, 11728
25, robert09, STD, 76676
26, ccooke, TWD, 13657
27, jessica30, INR, 127510
28, joshualewis, HTG, 197612
29, toddhill, JMD, 165101
30, parroyo, KES, 49659
31, stevensnyder, LBP, 65092
32, amandabailey, TMT, 108241
33, carlsonrichard, GHS, 182589
34, kyle46, MVR, 44714
35, schneiderangel, BND, 2545
36, william86, LYD, 167835
37, gordonbrian, AED, 148166
38, hernandezmichael, RON, 25171
39, rjimenez, AED, 173092
40, williamsjorge, CZK, 128597
41, jenningscharles, HRK, 127827
42, christy82, GYD, 170650
43, theresa51, SOS, 63140
44, whitemichael, KPW, 170982
45, ystewart, UZS, 131805
46, mckinneymary, SZL, 69900
47, billy31, MMK, 74075
48, andrewhernandez, BMD, 113568
49, mary38, LAK, 133340
50, cindypeters, MGA, 195814
51, parkersarah, BTN, 148113
52, paulsullivan, SPL, 44511
53, shanemedina, VEF, 140429
54, dcalhoun, BHD, 182452
55, xwood, PGK, 38157
56, hscott, AUD, 153368
57, krystal50, ANG, 13417
58, nicholas75, VUV, 183231
59, shawnwest, TTD, 14172
60, roseheather, UZS, 92763
61, gblack, MKD, 116293
62, wwhitehead, NOK, 50843
63, jose50, XDR, 40130
64, bryan12, ETB, 79448
65, cheryl92, MZN, 77369
66, felicia62, BDT, 63331
67, kimkayla, JOD, 182060
68, melinda06, AFN, 94711
